Year,CPI,Date
2005,114.49,2005-01-01
2005,114.51,2005-02-01
2005,114.81,2005-03-01
2005,115.63,2005-04-01
2005,116.69,2005-05-01
2005,116.81,2005-06-01
2005,116.14,2005-07-01
2005,117.13,2005-08-01
2005,118.33,2005-09-01
2005,120.45,2005-10-01
2005,122.14,2005-11-01
2005,122.65,2005-12-01
2006,123.57,2006-01-01
2006,123.84,2006-02-01
2006,124.18,2006-03-01
2006,125.84,2006-04-01
2006,128.2,2006-05-01
2006,128.63,2006-06-01
2006,129.72,2006-07-01
2006,129.15,2006-08-01
2006,130.81,2006-09-01
2006,132.47,2006-10-01
2006,134.18,2006-11-01
2006,134.49,2006-12-01
2007,135.84,2007-01-01
2007,136.42,2007-02-01
2007,137.67,2007-03-01
2007,139.33,2007-04-01
2007,140.03,2007-05-01
2007,139.69,2007-06-01
2007,138.67,2007-07-01
2007,138.7,2007-08-01
2007,140.13,2007-09-01
2007,142.67,2007-10-01
2007,145.45,2007-11-01
2007,145.77,2007-12-01
2008,146.94,2008-01-01
2008,148.84,2008-02-01
2008,150.27,2008-03-01
2008,152.79,2008-04-01
2008,155.07,2008-05-01
2008,154.51,2008-06-01
2008,155.4,2008-07-01
2008,155.02,2008-08-01
2008,155.72,2008-09-01
2008,159.77,2008-10-01
2008,161.1,2008-11-01
2008,160.44,2008-12-01
2009,160.9,2009-01-01
2009,160.35,2009-02-01
2009,162.12,2009-03-01
2009,162.15,2009-04-01
2009,163.19,2009-05-01
2009,163.37,2009-06-01
2009,163.78,2009-07-01
2009,163.29,2009-08-01
2009,163.93,2009-09-01
2009,167.88,2009-10-01
2009,170.01,2009-11-01
2009,170.91,2009-12-01
2010,174.07,2010-01-01
2010,176.59,2010-02-01
2010,177.62,2010-03-01
2010,178.68,2010-04-01
2010,178.04,2010-05-01
2010,177.04,2010-06-01
2010,176.19,2010-07-01
2010,176.9,2010-08-01
2010,179.07,2010-09-01
2010,182.35,2010-10-01
2010,182.4,2010-11-01
2010,181.85,2010-12-01
2011,182.6,2011-01-01
2011,183.93,2011-02-01
2011,184.7,2011-03-01
2011,186.3,2011-04-01
2011,190.81,2011-05-01
2011,188.08,2011-06-01
2011,187.31,2011-07-01
2011,188.67,2011-08-01
2011,190.09,2011-09-01
2011,196.31,2011-10-01
2011,199.7,2011-11-01
2011,200.85,2011-12-01
2012,201.98,2012-01-01
2012,203.12,2012-02-01
2012,203.96,2012-03-01
2012,207.05,2012-04-01
2012,206.61,2012-05-01
2012,204.76,2012-06-01
2012,204.29,2012-07-01
2012,205.43,2012-08-01
2012,207.55,2012-09-01
2012,211.62,2012-10-01
2012,212.42,2012-11-01
2012,213.23,2012-12-01
2013,216.74,2013-01-01
2013,217.39,2013-02-01
2013,218.83,2013-03-01
2013,219.75,2013-04-01
2013,220.07,2013-05-01
2013,221.75,2013-06-01
2013,222.44,2013-07-01
2013,222.21,2013-08-01
2013,223.91,2013-09-01
2013,227.94,2013-10-01
2013,227.96,2013-11-01
2013,229.01,2013-12-01
2014,233.54,2014-01-01
2014,234.54,2014-02-01
2014,237.18,2014-03-01
2014,240.37,2014-04-01
2014,241.32,2014-05-01
2014,242.07,2014-06-01
2014,243.17,2014-07-01
2014,243.4,2014-08-01
2014,243.74,2014-09-01
2014,248.37,2014-10-01
2014,248.82,2014-11-01
2014,247.72,2014-12-01
2015,250.45,2015-01-01
2015,252.24,2015-02-01
2015,255.23,2015-03-01
2015,259.39,2015-04-01
2015,260.85,2015-05-01
2015,259.51,2015-06-01
2015,259.74,2015-07-01
2015,260.78,2015-08-01
2015,263.11,2015-09-01
2015,267.2,2015-10-01
2015,268.98,2015-11-01
2015,269.54,2015-12-01
2016,274.44,2016-01-01
2016,274.38,2016-02-01
2016,274.27,2016-03-01
2016,276.42,2016-04-01
2016,278.02,2016-05-01
2016,279.33,2016-06-01
2016,282.58,2016-07-01
2016,281.76,2016-08-01
2016,282.27,2016-09-01
2016,286.33,2016-10-01
2016,287.81,2016-11-01
2016,292.54,2016-12-01
2017,299.74,2017-01-01
2017,302.17,2017-02-01
2017,305.24,2017-03-01
2017,309.23,2017-04-01
2017,310.61,2017-05-01
2017,309.78,2017-06-01
2017,310.24,2017-07-01
2017,311.85,2017-08-01
2017,313.88,2017-09-01
2017,320.4,2017-10-01
2017,325.18,2017-11-01
2017,327.41,2017-12-01
2018,330.75,2018-01-01
2018,333.17,2018-02-01
2018,336.48,2018-03-01
2018,342.78,2018-04-01
2018,348.34,2018-05-01
2018,357.44,2018-06-01
2018,359.41,2018-07-01
2018,367.66,2018-08-01
2018,390.84,2018-09-01
2018,401.27,2018-10-01
2018,395.48,2018-11-01
2018,393.88,2018-12-01
2019,398.07,2019-01-01
2019,398.71,2019-02-01
2019,402.81,2019-03-01
2019,409.63,2019-04-01
2019,413.52,2019-05-01
2019,413.63,2019-06-01
2019,419.24,2019-07-01
2019,422.84,2019-08-01
2019,427.04,2019-09-01
2019,435.59,2019-10-01
2019,437.25,2019-11-01
2019,440.5,2019-12-01
2020,446.45,2020-01-01
2020,448.02,2020-02-01
2020,450.58,2020-03-01
2020,454.43,2020-04-01
2020,460.62,2020-05-01
2020,465.84,2020-06-01
2020,468.56,2020-07-01
2020,472.61,2020-08-01
2020,477.21,2020-09-01
2020,487.38,2020-10-01
2020,498.58,2020-11-01
2020,504.81,2020-12-01
2021,513.3,2021-01-01
2021,517.96,2021-02-01
2021,523.53,2021-03-01
2021,532.32,2021-04-01
2021,537.05,2021-05-01
2021,547.48,2021-06-01
2021,557.36,2021-07-01
2021,563.6,2021-08-01
2021,570.66,2021-09-01
2021,584.32,2021-10-01
2021,604.84,2021-11-01
2021,686.95,2021-12-01
2022,763.23,2022-01-01
2022,799.93,2022-02-01
2022,843.64,2022-03-01
2022,904.79,2022-04-01
2022,931.76,2022-05-01
2022,977.9,2022-06-01
2022,1001.03,2022-07-01
2022,1015.65,2022-08-01
2022,1046.89,2022-09-01
2022,1084,2022-10-01
2022,1115.26,2022-11-01
2022,1128.45,2022-12-01
2023,1203.48,2023-01-01
2023,1241.33,2023-02-01
2023,1269.75,2023-03-01
2023,1300.04,2023-04-01
2023,1300.6,2023-05-01
2023,1351.59,2023-06-01
2023,1479.84,2023-07-01
2023,1614.31,2023-08-01
2023,1691.04,2023-09-01
2023,1749.11,2023-10-01
2023,1806.5,2023-11-01
2023,1859.38,2023-12-01
2024,1984.02,2024-01-01
2024,2073.88,2024-02-01
2024,2139.47,2024-03-01
2024,2207.5,2024-04-01
2024,2281.85,2024-05-01
2024,2319.29,2024-06-01
2024,2394.1,2024-07-01
2024,2453.34,2024-08-01
2024,2526.16,2024-09-01
2024,2598.91,2024-10-01
2024,2657.23,2024-11-01
2024,2684.55,2024-12-01
2025,2819.65,2025-01-01
2025,2883.75,2025-02-01
2025,2954.69,2025-03-01
2025,3043.23,2025-04-01
2025,3089.74,2025-05-01
2025,3132.17,2025-06-01
2025,3196.66,2025-07-01
2025,3261.72,2025-08-01
2025,3367.22,2025-09-01
2025,3453.09,2025-10-01
2025,3482.96,2025-11-01
